2021-11-07 13:32:01,101 >>> ok
2021-11-07 13:32:01,102 <<< M21
2021-11-07 13:32:01,103 >>> SD card ok
2021-11-07 13:32:01,105 >>> ok
2021-11-07 13:32:01,106 <<< M20
2021-11-07 13:32:01,108 >>> Begin file list
2021-11-07 13:32:01,111 >>> End file list
2021-11-07 13:32:01,118 >>> ok
2021-11-07 13:32:01,929 >>> wait
2021-11-07 13:32:02,141 >>> wait
2021-11-07 13:32:02,907 >>> wait
2021-11-07 13:32:03,163 >>> wait
2021-11-07 13:32:03,934 >>> wait
2021-11-07 13:32:04,138 >>> wait
2021-11-07 13:32:04,959 >>> wait
2021-11-07 13:32:05,164 >>> wait
2021-11-07 13:32:05,823 <<< M105
2021-11-07 13:32:05,831 >>> ok T:21.30 /0.00 B:21.30 /0.00 @:64
2021-11-07 13:32:06,075 <<< M105
2021-11-07 13:32:06,087 >>> ok T:21.30 /0.00 B:21.30 /0.00 @:64
2021-11-07 13:32:06,857 >>> wait
2021-11-07 13:32:07,110 >>> wait
2021-11-07 13:32:07,882 >>> wait
2021-11-07 13:32:08,135 >>> wait
2021-11-07 13:32:08,855 >>> wait
2021-11-07 13:32:09,110 >>> wait
2021-11-07 13:32:09,880 >>> wait
2021-11-07 13:32:10,134 >>> wait
2021-11-07 13:32:10,824 <<< M105
2021-11-07 13:32:10,854 >>> ok T:21.30 /0.00 B:21.30 /0.00 @:64
2021-11-07 13:32:11,075 <<< M105
2021-11-07 13:32:11,108 >>> ok T:21.30 /0.00 B:21.30 /0.00 @:64
2021-11-07 13:32:11,855 >>> wait
2021-11-07 13:32:12,109 >>> wait
2021-11-07 13:32:12,880 >>> wait
2021-11-07 13:32:13,133 >>> wait
2021-11-07 13:32:13,855 >>> wait
2021-11-07 13:32:14,107 >>> wait
2021-11-07 13:32:14,879 >>> wait
2021-11-07 13:32:15,131 >>> wait
2021-11-07 13:32:15,825 <<< M105
2021-11-07 13:32:15,854 >>> ok T:21.30 /0.00 B:21.30 /0.00 @:64
2021-11-07 13:32:16,077 <<< M105
2021-11-07 13:32:16,106 >>> ok T:21.30 /0.00 B:21.30 /0.00 @:64
2021-11-07 13:32:16,879 >>> wait
2021-11-07 13:32:17,130 >>> wait
2021-11-07 13:32:17,850 >>> wait
2021-11-07 13:32:18,102 >>> wait
2021-11-07 13:32:18,875 >>> wait
2021-11-07 13:32:19,127 >>> wait
2021-11-07 13:32:19,899 >>> wait
2021-11-07 13:32:20,100 >>> wait
2021-11-07 13:32:20,826 <<< M105
